leaf_thickness_mm,LTmean (um),FMDMmean,LDMCmean (g/g),dSLAmean (cm^2/g),dC13,dH+,dH+SIG,Pathway,Genus,Species,Taxon,Reference,MajorLineage,Tissue
1.35,1350.00,,,,-15.3,,,CAM,Schomburgkia,undulata,Laelia undulata,Silvera et al. (2005),Orchidaceae,leaf
1.84,1840.00,6.9,0.145,76,-20.3,12.6,SIG,C3+CAM,Lockhartia,acuta,Lockhartia acuta,Silvera et al. (2005),Orchidaceae,leaf
0.65,650.00,8.2,0.122,176,-26.5,3.1,SIG,C3+CAM,Lockhartia,amoena,Lockhartia amoena,Silvera et al. (2005),Orchidaceae,leaf
0.41,410.00,5.7,0.175,174,-29,12.4,SIG,C3+CAM,Lockhartia,hercodonta,Lockhartia hercodonta,Silvera et al. (2005),Orchidaceae,leaf
0.71,710.00,7.1,0.141,191,-24,13.6,SIG,C3+CAM,Lockhartia,micrantha,Lockhartia micrantha,Silvera et al. (2005),Orchidaceae,leaf
0.43,430.00,5.5,0.182,155,-28.3,2.6,NS,C3,Lockhartia,pittieri,Lockhartia parthenoglossa,Silvera et al. (2005),Orchidaceae,leaf
0.2,200.0,4.8,0.208,287,-26.6,0.8,NS,C3,Lycaste,aromatica,Lycaste aromatica,Silvera et al. (2005),Orchidaceae,leaf
0.27,270.00,4.7,0.213,207,-27.6,-0.4,NS,C3,Lycaste,macrophylla,Lycaste macrophylla,Silvera et al. (2005),Orchidaceae,leaf
0.19,190.00,,,,-26.7,,,C3,Lycaste,powellii,Lycaste powellii,Silvera et al. (2005),Orchidaceae,leaf
0.18,180.00,5.1,0.196,266,-27.2,2.3,NS,C3,Lycaste,tricolor,Lycaste tricolor,Silvera et al. (2005),Orchidaceae,leaf
1,1000,9.2,0.109,91,-14.5,79.4,SIG,CAM,Macroclinium,sp.,Macroclinium sp.,Silvera et al. (2005),Orchidaceae,leaf
1.12,1120.00,14.3,0.070,141,-28.2,2.3,NS,C3,Masdevallia,lata,Masdevallia lata,Silvera et al. (2005),Orchidaceae,leaf
0.94,940.00,10.7,0.093,88,-26.8,0.7,NS,C3,Masdevallia,tonduzii,Masdevallia tonduzii,Silvera et al. (2005),Orchidaceae,leaf
0.82,820.00,,,,-30.4,,,C3,Masdevallia,zahlbruckneri,Masdevallia zahlbruckneri,Silvera et al. (2005),Orchidaceae,leaf
0.52,520.00,5.7,0.175,113,-29.6,1.0,NS,C3,Maxillaria,bicallosa,Maxillaria bicallosa,Silvera et al. (2005),Orchidaceae,leaf
1.74,1740.00,12.3,0.081,60,-13.4,59.9,SIG,CAM,Heterotaxis,sessilis,Maxillaria crassifolia,Silvera et al. (2005),Orchidaceae,leaf
0.92,920.00,7.4,0.135,89,-31.7,1.8,NS,C3,Maxillaria,cryptobulbon,Maxillaria cryptobulbon,Silvera et al. (2005),Orchidaceae,leaf
0.66,660.00,5.9,0.169,94,-27.5,7.2,SIG,C3+CAM,Maxillaria,discolor,Maxillaria discolor,Silvera et al. (2005),Orchidaceae,leaf
0.36,360.00,4.3,0.233,120,-28.8,2.8,NS,C3,Maxillaria,diuturna,Maxillaria diuturna,Silvera et al. (2005),Orchidaceae,leaf
0.4,400.0,4.0,0.250,121,-32.3,4.0,SIG,C3+CAM,Trigonidium,egertonianum,Maxillaria egertoniana,Silvera et al. (2005),Orchidaceae,leaf
0.67,670.00,6.1,0.164,109,-29.8,7.2,SIG,C3+CAM,Maxillaria,endresii,Maxillaria endresii,Silvera et al. (2005),Orchidaceae,leaf
0.68,680.00,4.6,0.217,86,-28.5,14.5,SIG,C3+CAM,Maxillaria,fulgens,Maxillaria fulgens,Silvera et al. (2005),Orchidaceae,leaf
0.29,290.00,3.7,0.270,131,-27.2,-0.5,NS,C3,Maxillaria,camaridii,Maxillaria lutescens,Silvera et al. (2005),Orchidaceae,leaf
0.96,960.00,6.1,0.164,80,-28.7,3.9,SIG,C3+CAM,Maxillaria,ringens,Maxillaria ringens,Silvera et al. (2005),Orchidaceae,leaf
0.59,590.00,4.0,0.250,86,-31,4.1,NS,C3,Maxillaria,sanguinea,Maxillaria sanguinea,Silvera et al. (2005),Orchidaceae,leaf
1.72,1720.00,,,,-27.1,,,,Maxillaria,sp.,Maxillaria sp.,Silvera et al. (2005),Orchidaceae,leaf
0.59,590.00,,,,-27.3,,,,Trigonidium,sp.,Maxillaria sp. “Trigonidium” 1,Silvera et al. (2005),Orchidaceae,leaf
0.52,520.00,4.8,0.208,105,-29,12.6,NS,C3,Maxillaria,tenuifolia,Maxillaria tenuifolia,Silvera et al. (2005),Orchidaceae,leaf
2.65,2650.00,8.3,0.120,42,-28.4,0.4,NS,C3,Heterotaxis,valenzuelana,Maxillaria valenzuelana,Silvera et al. (2005),Orchidaceae,leaf
0.28,280.00,,,,-29.8,,,,Maxillaria,variabilis,Maxillaria variabilis,Silvera et al. (2005),Orchidaceae,leaf
0.71,710.00,,,,-31.6,,,,Maxillaria,attenuata,Maxillaria virguncula,Silvera et al. (2005),Orchidaceae,leaf
0.29,290.00,,,,-25.9,,,,Miltonia,x bluntii,Miltonia x bluntii,Silvera et al. (2005),Orchidaceae,leaf
0.37,370.00,6.1,0.164,206,-27.6,2.5,NS,C3,Miltoniopsis,roezlii,Miltoniopsis roezlii,Silvera et al. (2005),Orchidaceae,leaf
0.27,270.00,6.3,0.159,236,-22.2,6.1,SIG,C3+CAM,Mormodes,fractiflexa,Mormodes fractiflexa,Silvera et al. (2005),Orchidaceae,leaf
0.29,290.00,5.1,0.196,224,-27.4,-0.5,NS,C3,Mormodes,horichii,Mormodes horichii,Silvera et al. (2005),Orchidaceae,leaf
0.23,230.00,5.7,0.175,278,-24.2,5.6,SIG,C3+CAM,Mormodes,lancilabris,Mormodes lancilabris,Silvera et al. (2005),Orchidaceae,leaf
0.36,360.00,6.1,0.164,238,-23.5,1.6,NS,C3,Mormodes,powelli,Mormodes powelli,Silvera et al. (2005),Orchidaceae,leaf
0.3,300.0,5.2,0.192,229,-24.4,3.6,NS,C3,Mormodes,punctata,Mormodes punctata,Silvera et al. (2005),Orchidaceae,leaf
0.25,250.00,,,,-23,,,C3,Mormodes,skinneri,Mormodes skinneri,Silvera et al. (2005),Orchidaceae,leaf
1.85,1850.00,,,,-13.7,,,CAM,Myrmecophila,tibicinis,Myrmecophila tibicinis,Silvera et al. (2005),Orchidaceae,leaf
1.52,1520.00,8.0,0.125,65,-13.5,127.2,SIG,CAM,Notylia,albida,Notylia albida,Silvera et al. (2005),Orchidaceae,leaf
1.31,1310.00,5.3,0.189,33,-11.8,21.5,SIG,CAM,Notylia,barkeri,Notylia barkeri,Silvera et al. (2005),Orchidaceae,leaf
1.07,1070.00,3.8,0.263,30,-14.1,35.1,SIG,CAM,Notylia,pentachne,Notylia pentachne,Silvera et al. (2005),Orchidaceae,leaf
0.41,410.00,,,,-28.9,,,,Oncidium,powellii,Oncidium anthocrene,Silvera et al. (2005),Orchidaceae,leaf
0.37,370.00,4.9,0.204,127,-24,12.6,SIG,C3+CAM,Oncidium,bracteatum,Oncidium bracteatum,Silvera et al. (2005),Orchidaceae,leaf
0.36,360.00,4.7,0.213,163,-27.4,0.3,NS,C3,Oncidium,cheirophorum,Oncidium cheirophorum,Silvera et al. (2005),Orchidaceae,leaf
0.25,250.00,4.0,0.250,156,-25.9,3.4,SIG,C3+CAM,Oncidium,dichromaticum,Oncidium dichromaticum,Silvera et al. (2005),Orchidaceae,leaf
0.5,500.0,4.9,0.204,112,-24.6,13.4,SIG,C3+CAM,Oncidium,fuscatum,Oncidium fuscatum,Silvera et al. (2005),Orchidaceae,leaf
0.5,500.0,6.3,0.159,114,-26.9,20.0,SIG,C3+CAM,Oncidium,isthmi,Oncidium isthmi,Silvera et al. (2005),Orchidaceae,leaf
0.41,410.00,6.5,0.154,164,-26.7,2.7,NS,C3,Oncidium,leucochilum,Oncidium leucochilum,Silvera et al. (2005),Orchidaceae,leaf
0.46,460.00,6.4,0.156,153,-24.5,0.4,NS,C3,Oncidium,stenotis,Oncidium lineoligerum,Silvera et al. (2005),Orchidaceae,leaf
0.14,140.00,,,,-31.9,,,C3,Sigmatostalix,macrobulbon,Oncidium macrobulbon,Silvera et al. (2005),Orchidaceae,leaf
0.24,240.00,4.6,0.217,179,-24.7,2.2,NS,C3,Oncidium,maduroi,Oncidium maduroi,Silvera et al. (2005),Orchidaceae,leaf
0.44,440.00,,,,-25,,,,Oncidium,klotzscheanum,Oncidium nebulosum,Silvera et al. (2005),Orchidaceae,leaf
0.25,250.00,,,,-25.2,,,,Oncidium,ornithorhynchum,Oncidium ornithorhynchum,Silvera et al. (2005),Orchidaceae,leaf
0.54,540.00,6.3,0.159,111,-26.2,21.7,SIG,C3+CAM,Oncidium,panamense,Oncidium panamense,Silvera et al. (2005),Orchidaceae,leaf
0.5,500.0,5.3,0.189,114,-29,2.3,NS,C3,Oncidium,parviflorum,Oncidium parviflorum,Silvera et al. (2005),Orchidaceae,leaf
0.23,230.00,4.6,0.217,137,-28.8,4.3,NS,C3,Sigmatostalix,picturatissima,Oncidium picturatissimum,Silvera et al. (2005),Orchidaceae,leaf
0.46,460.00,,,,-23.2,,,,Oncidium,polycladium,Oncidium polycladium,Silvera et al. (2005),Orchidaceae,leaf
0.37,370.00,5.2,0.192,144,-22.2,1.7,SIG,C3+CAM,Oncidium,schroederianum,Oncidium schroederianum,Silvera et al. (2005),Orchidaceae,leaf
0.53,530.00,5.0,0.200,114,-27.9,22.9,SIG,C3+CAM,Oncidium,sphacelatum,Oncidium sphacelatum,Silvera et al. (2005),Orchidaceae,leaf
1.55,1550.00,13.2,0.076,106,-13.8,35.5,SIG,CAM,Ornithocephalus,bicornis,Ornithocephalus bicornis,Silvera et al. (2005),Orchidaceae,leaf
2.2,2200.0,10.5,0.095,90,-14.9,20.5,SIG,CAM,Ornithocephalus,cochleariformis,Ornithocephalus cochleariformis,Silvera et al. (2005),Orchidaceae,leaf
0.34,340.00,5.2,0.192,234,-27,7.3,SIG,C3+CAM,Peristeria,elata,Peristeria elata,Silvera et al. (2005),Orchidaceae,leaf
0.17,170.00,5.2,0.192,309,-30.3,8.5,SIG,C3+CAM,Peristeria,guttata,Peristeria guttata,Silvera et al. (2005),Orchidaceae,leaf
0.41,410.00,3.8,0.263,155,-28.9,21.1,SIG,C3+CAM,Peristeria,sp.,Peristeria sp.,Silvera et al. (2005),Orchidaceae,leaf
0.7,700.0,8.7,0.115,138,-27.9,2.3,NS,C3,Pescatoria,cerina,Pescatoria cerina,Silvera et al. (2005),Orchidaceae,leaf
0.82,820.00,9.5,0.105,93,-28.7,-0.5,NS,C3,Phloeophila,pelecaniceps,Phloeophila pelecaniceps,Silvera et al. (2005),Orchidaceae,leaf
0.6,600.0,4.8,0.208,64,-29.7,-0.7,NS,C3,Phragmipedium,longifolium,Phragmipedium longifolium,Silvera et al. (2005),Orchidaceae,leaf
1.14,1140.00,8.7,0.115,80,-28.3,0.9,NS,C3,Ancipitia,crocodiliceps,Pleurothallis crocodiliceps,Silvera et al. (2005),Orchidaceae,leaf
1.58,1580.00,18.1,0.055,138,-16.1,73.2,SIG,CAM,Pleurothallis,leucantha,Pleurothallis leucantha,Silvera et al. (2005),Orchidaceae,leaf
1.19,1190.00,5.4,0.185,45,-29.7,0.8,NS,C3,Pleurothallis,sp.,Pleurothallis sp.,Silvera et al. (2005),Orchidaceae,leaf
0.25,250.00,,,,-27.8,,,,Polystachya,sp.,Polystachya sp.,Silvera et al. (2005),Orchidaceae,leaf
0.25,250.00,4.6,0.217,169,-26.5,16.6,NS,C3,Prosthechea,abbreviata,Prosthechea abbreviata,Silvera et al. (2005),Orchidaceae,leaf
0.56,560.00,6.4,0.156,112,-28.4,8.6,SIG,C3+CAM,Prosthechea,aemula,Prosthechea aemula,Silvera et al. (2005),Orchidaceae,leaf
0.47,470.00,6.9,0.145,142,-28.6,13.7,SIG,C3+CAM,Prosthechea,chacaoensis,Prosthechea chacaoensis,Silvera et al. (2005),Orchidaceae,leaf
0.6,600.0,6.8,0.147,98,-30.4,4.6,SIG,C3+CAM,Prosthechea,chimborazoensis,Prosthechea chimborazoensis,Silvera et al. (2005),Orchidaceae,leaf
0.72,720.00,4.4,0.227,77,-25.4,6.7,NS,C3,Prosthechea,prismatocarpa,Prosthechea prismatocarpa,Silvera et al. (2005),Orchidaceae,leaf
0.5,500.0,7.1,0.141,150,-28.2,0.4,NS,C3,Prosthechea,vespa,Prosthechea vespa,Silvera et al. (2005),Orchidaceae,leaf
0.53,530.00,,,,-28,,,,Rhynchostele,bictoniensis,Rhynchostele bictoniensis,Silvera et al. (2005),Orchidaceae,leaf
1.15,1150.00,6.6,0.152,69,-13.2,69.2,SIG,CAM,Rodriguezia,compacta,Rodriguezia compacta,Silvera et al. (2005),Orchidaceae,leaf
1.43,1430.00,9.5,0.105,60,-13.7,177.4,SIG,CAM,Rodriguezia,lanceolata,Rodriguezia lanceolata,Silvera et al. (2005),Orchidaceae,leaf
0.35,350.00,7.5,0.133,148,-31.7,0.4,NS,C3,Ticoglossum,krameri,Rossioglossum krameri,Silvera et al. (2005),Orchidaceae,leaf
0.32,320.00,5.2,0.192,197,-31,2.0,NS,C3,Scaphyglottis,behrii,Scaphyglottis behrii,Silvera et al. (2005),Orchidaceae,leaf
0.31,310.00,,,,-26.8,,,,Scaphyglottis,bidentata,Scaphyglottis bidentata,Silvera et al. (2005),Orchidaceae,leaf
0.37,370.00,3.0,0.333,98,-27,16.2,SIG,C3+CAM,Scaphyglottis,imbricata,Scaphyglottis imbricata,Silvera et al. (2005),Orchidaceae,leaf
0.24,240.00,3.5,0.286,186,-30.2,6.1,NS,C3,Scaphyglottis,laevilabia,Scaphyglottis laevilabia,Silvera et al. (2005),Orchidaceae,leaf
0.29,290.00,,,,-24.9,,,,Scaphyglottis,sp.,Scaphyglottis sp.,Silvera et al. (2005),Orchidaceae,leaf
0.5,500.0,5.5,0.182,115,-26.1,1.7,NS,C3,Sievekingia,butcheri,Sievekingia butcheri,Silvera et al. (2005),Orchidaceae,leaf
0.32,320.00,3.9,0.256,133,-27.9,14.4,SIG,C3+CAM,Sobralia,bletiae,Sobralia bletiae,Silvera et al. (2005),Orchidaceae,leaf
