tipLabel,MajorLineage,Genus,Species,Taxon,Pathway,MA,LT,IAS,CAMpheno,CAMphenoCat
Cistanthe_mucronulata_371,Montiaceae,Cistanthe,mucronulata,Cistanthe mucronulata,C3+CAM,,,,mCAM,1
Cistanthe_lingulata_364,Montiaceae,Cistanthe,lingulata,Cistanthe lingulata,C3+CAM,,,,mCAM,1
Phemeranthus_calycinus_173,Montiaceae,Phemeranthus,calycinus,Phemeranthus calycinus,C3+CAM,,,,mCAM,1
Phemeranthus_teretifolius_400,Montiaceae,Phemeranthus,teretifolius,Phemeranthus teretifolius,C3+CAM,4715.875,1716.3856666666666,0.09185646497863513,mCAM,1
Phemeranthus_confertiflorus_2,Montiaceae,Phemeranthus,confertiflorus,Phemeranthus confertiflorus,C3+CAM,,,,mCAM,1
Phemeranthus_brevicaulis_202,Montiaceae,Phemeranthus,brevicaulis,Phemeranthus brevicaulis,C3+CAM,,,,mCAM,1
Phemeranthus_parviflorus,Montiaceae,Phemeranthus,parviflorus,Phemeranthus parviflorus,C3+CAM,,,,mCAM,1
Phemeranthus_brevifolius_169,Montiaceae,Phemeranthus,brevifolius,Phemeranthus brevifolius,C3+CAM,,,,mCAM,1
Phemeranthus_parvulus_24,Montiaceae,Phemeranthus,parvulus,Phemeranthus parvulus,C3+CAM,,,,mCAM,1
Phemeranthus_humilis_3,Montiaceae,Phemeranthus,humilis,Phemeranthus humilis,C3+CAM,,,,mCAM,1
Stetsonia_coryne,Cactaceae,Stetsonia,coryne,Stetsonia coryne,CAM,4654.59828317901,,0.129609159639085,pCAM,2
Gymnocalycium_mihanovichii,Cactaceae,Gymnocalycium,mihanovichii,Gymnocalycium mihanovichii,CAM,6079.61365195161,,0.0538064569528292,pCAM,2
Matucana_aurantiaca,Cactaceae,Matucana,aurantiaca,Matucana aurantiaca,CAM,,,,pCAM,2
Echinopsis_aurea,Cactaceae,Echinopsis,aurea,Echinopsis aurea,CAM,7120.6906116356,,0.053455025579535,pCAM,2
Eriosyce_wagenknechtii,Cactaceae,Eriosyce,wagenknechtii,Eriosyce wagenknechtii,CAM,,,,pCAM,2
Rhipsalis_baccifera,Cactaceae,Rhipsalis,baccifera,Rhipsalis baccifera,CAM,,,,pCAM,2
Rhipsalis_capilliformis_54,Cactaceae,Rhipsalis,capilliformis,Rhipsalis capilliformis,CAM,,,,pCAM,2
Pachycereus_gatesii,Cactaceae,Lophocereus,gatesii,Lophocereus gatesii,CAM,4146.26593939394,,0.0902068453732446,pCAM,2
Stenocereus_yunckeri,Cactaceae,Stenocereus,yunckeri,Stenocereus yunckeri,CAM,4329.64774297246,,,pCAM,2
Peniocereus_cuixmalensis,Cactaceae,Peniocereus,cuixmalensis,Peniocereus cuixmalensis,CAM,4338.58024691358,,0.103681255780661,pCAM,2
Echinocereus_pectinatus_tr,Cactaceae,Echinocereus,pectinatus,Echinocereus pectinatus,CAM,4967.3997,,,pCAM,2
Coryphantha_maiztablasensis,Cactaceae,Coryphantha,maiztablasensis,Coryphantha maiztablasensis,CAM,,,,pCAM,2
Mammillaria_plumosa_117,Cactaceae,Mammillaria,plumosa,Mammillaria plumosa,CAM,,,,pCAM,2
Lophophora_williamsii,Cactaceae,Lophophora,williamsii,Lophophora williamsii,CAM,,,,pCAM,2
Ariocarpus_retusus,Cactaceae,Ariocarpus,retusus,Ariocarpus retusus,CAM,7716.68998756219,,0.164989483374323,pCAM,2
Ferocactus_latispinus,Cactaceae,Ferocactus,latispinus,Ferocactus latispinus,CAM,4460.116071311475,,0.109224211426339,pCAM,2
Astrophytum_myriostigma,Cactaceae,Astrophytum,myriostigma,Astrophytum myriostigma,CAM,7403.97459511483,,0.104234453381151,pCAM,2
Astrophytum_asterias,Cactaceae,Astrophytum,asterias,Astrophytum asterias,CAM,,,,pCAM,2
Copiapoa_desertorum,Cactaceae,Copiapoa,desertorum,Copiapoa desertorum,CAM,6389.80926732833,,,pCAM,2
Blossfeldia_204,Cactaceae,Blossfeldia,,Blossfeldia,CAM,,,,pCAM,2
Maihuenia_poeppigii,Cactaceae,Maihuenia,poeppigii,Maihuenia poeppigii,CAM,,,,pCAM,2
Opuntia_bravoana,Cactaceae,Opuntia,bravoana,Opuntia bravoana,CAM,5889.88743645606,,0.229739622876192,pCAM,2
Opuntia_cochenillifera,Cactaceae,Opuntia,cochenillifera,Opuntia cochenillifera,CAM,2844.34923404255,,,pCAM,2
Opuntia_arenaria,Cactaceae,Opuntia,arenaria,Opuntia arenaria,CAM,,,,pCAM,2
Tunilla_corrugata,Cactaceae,Tunilla,corrugata,Tunilla corrugata,CAM,3860.7479411764702,,,pCAM,2
Salmiopuntia_salmiana,Cactaceae,Salmonopuntia,salmiana,Salmonopuntia salmiana,CAM,1558.786675,,,pCAM,2
Tacinga_lilae,Cactaceae,Tacinga,lilae,Tacinga lilae,CAM,7457.56155555555,,,pCAM,2
Tephrocactus_articulatus,Cactaceae,Tephrocactus,articulatus,Tephrocactus articulatus,CAM,5470.24842923281,,0.124171662440586,pCAM,2
Tephrocactus_bonnieae,Cactaceae,Tephrocactus,bonnieae,Tephrocactus bonnieae,CAM,,,,pCAM,2
Opuntia_subulata_208,Cactaceae,Opuntia,subulata,Opuntia subulata,CAM,,,,pCAM,2
Maihueniopsis_conoidea,Cactaceae,Maihueniopsis,conoidea,Maihueniopsis conoidea,CAM,,,,pCAM,2
Maihueniopsis_glomerata_116,Cactaceae,Maihueniopsis,glomerata,Maihueniopsis glomerata,CAM,,,,pCAM,2
Pterocactus_tuberosus,Cactaceae,Pterocactus,tuberosus,Pterocactus tuberosus,CAM,1832.53221,,0.0558227905775635,pCAM,2
Quiabentia_zehntneri_207,Cactaceae,Quiabentia,zehntneri,Quiabentia zehntneri,C3+CAM,5898.947640754584,,,mCAM,1
Pereskiopsis_porteri_51,Cactaceae,Pereskiopsis,porteri,Pereskiopsis porteri,C3+CAM,4109.97859418558,,,mCAM,1
Grusonia_bradtiana,Cactaceae,Grusonia,bradtiana,Grusonia bradtiana,CAM,3877.21703077886,,0.128284110124447,pCAM,2
Leuenbergeria_lychnidiflora,Cactaceae,Pereskia,lychnidiflora,Pereskia lychnidiflora,C3+CAM,,,,mCAM,1
Leuenbergeria_guamacho,Cactaceae,Pereskia,guamacho,Pereskia guamacho,C3+CAM,6375.6424,1194.847,0.1901007409954669,mCAM,1
Pereskia_bleo_tr,Cactaceae,Pereskia,bleo,Pereskia bleo,C3+CAM,,,,mCAM,1
