taxon	slide_no	leaf_no	ivd	dias	dcell	delta	phloem_path	bs_cellsize	bs_length	bs_width	palisade_cellsize	palisade_length	palisade_width	ws_cellsize	ws_length	ws_width	ws_wall_thickness	n_mucilage_cells	mucilage_cell_area	leaf_thickness	leaf_area	mucilage_total_area	ias	area_for_ias	ias_by_area	lmes	lmes/ias	threedee	threedee.types	perimeter	width	thicknessXwidth	gh
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	0.428923	0.108314	0.182762	0.44013	5	0.002528	0.052855	0.036319	0.003764	0.122616	0.072505	0.009611	0.144355	0.09926	NA	NA	NA	NA	NA	NA	0.001678	NA	NA	0.379021	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	0.420279	0.165891	0.188397	0.457589	NA	0.002959	0.056731	0.033685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000197	NA	NA	0.058561	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	0.252978	0.054065	0.0818	0.43444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000239	NA	NA	0.071562	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	0.200755	0.104704	0.099189	0.437612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001729	NA	NA	0.317491	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	0.319359	NA	0.15965	0.376765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002176	NA	NA	0.394979	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	0.180192	NA	0.211588	0.359943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000081	NA	NA	0.038731	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	NA	NA	0.125743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00151	NA	NA	0.290362	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	NA	NA	0.262692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00076	NA	NA	0.206013	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	NA	NA	0.293001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000678	NA	NA	0.162717	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	NA	NA	0.150072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000382	NA	NA	0.095837	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	NA	NA	0.142789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	NA	NA	0.192245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	NA	NA	0.068462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	NA	NA	0.112191	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	NA	NA	0.149806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	NA	NA	0.293883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	NA	NA	0.219729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	NA	NA	0.168989	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	NA	NA	0.093084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	1
Anacampseros_australiana	Anacampserosaustraliana_lf1sl3_10x	1	NA	NA	0.364043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	1
